Sezione,Ubicazione,Voti
157,"V.CORRIDI V.VEC.LAZZERETTO,26",10.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",10.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",13.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",8.0
161,"V.CORRIDI V.DI COLLINAIA,19",15.0
162,"V.CORRIDI V.DI COLLINAIA,19",13.0
163,"V.CORRIDI V.DI COLLINAIA,19",13.0
164,"V.CORRIDI V.DI COLLINAIA,19",15.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",9.0
166,"'C.BARTOLENA' VIA MICHEL,8",8.0
167,"'C.BARTOLENA' VIA MICHEL,8",9.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",12.0
169,"'C.BARTOLENA' VIA MICHEL,8",8.0
170,"'C.BARTOLENA' VIA MICHEL,8",13.0
171,"V.CORRIDI V.DI COLLINAIA,19",19.0
172,"V.CORRIDI V.DI COLLINAIA,19",9.0
